tpep_pickup_datetime,PU_count,PU_month,PU_day_of_month,PU_day_of_week,PU_hour,trip_distance,total_amount,lag_1h,lag_2h,lag_1d,lag_2d,ewma_3h,ewma_6h,ewma_12h,ewma_24h
2022-03-24 00:00:00,1509,3,24,3,0,3.0797746,17.927237,3002.0,4785.0,1489.0,899.0,2858.437764938414,4037.681306903764,4737.369484234108,4686.747200321332
2022-03-24 01:00:00,720,3,24,3,1,3.2473612,18.22675,1509.0,3002.0,707.0,444.0,1789.218882469207,3089.772362074117,4119.312640505784,4369.407424295625
2022-03-24 02:00:00,383,3,24,3,2,3.411201,18.656893,720.0,1509.0,386.0,228.0,1086.1094412346035,2316.4088300529406,3544.4953111972018,4050.494830351975
2022-03-24 03:00:00,228,3,24,3,3,3.7498684,20.249737,383.0,720.0,229.0,148.0,657.0547206173018,1719.7205928949575,3034.2652633207094,3744.695243923817
2022-03-24 04:00:00,223,3,24,3,4,5.7892375,27.350313,228.0,383.0,212.0,158.0,440.0273603086509,1292.0861377821122,2601.7629151175233,3462.9596244099116
2022-03-24 05:00:00,561,3,24,3,5,4.3660426,22.835402,223.0,228.0,436.0,445.0,500.51368015432547,1083.2043841300801,2287.799389714827,3230.8028544571184
2022-03-24 06:00:00,1670,3,24,3,6,3.100988,17.928576,561.0,223.0,1460.0,1452.0,1085.2568400771627,1250.860274378629,2192.7533297586997,3105.938626100549
2022-03-24 07:00:00,3412,3,24,3,7,2.5732474,16.470663,1670.0,561.0,3450.0,3323.0,2248.628420038581,1868.3287674133064,2380.3297405650537,3130.423536012505
2022-03-24 08:00:00,4769,3,24,3,8,2.3927615,16.653526,3412.0,1670.0,4655.0,4606.0,3508.814210019291,2697.0919767237906,2747.817472785815,3261.509653131505
2022-03-24 09:00:00,5050,3,24,3,9,2.1987684,16.527494,4769.0,3412.0,4929.0,4772.0,4279.407105009645,3369.351411945565,3101.9994000495353,3404.5888808809846
2022-03-24 10:00:00,5196,3,24,3,10,2.289923,17.077175,5050.0,4769.0,5045.0,4827.0,4737.703552504823,3891.251008532546,3424.153338503453,3547.9017704105054
2022-03-24 11:00:00,5215,3,24,3,11,2.3195436,17.401258,5196.0,5050.0,5287.0,4944.0,4976.351776252412,4269.465006094676,3699.6682095029223,3681.2696287776653
2022-03-24 12:00:00,5729,3,24,3,12,2.320548,17.471922,5215.0,5196.0,5423.0,5287.0,5352.675888126206,4686.47500435334,4011.873100348627,3845.0880584754523
2022-03-24 13:00:00,5782,3,24,3,13,2.3792684,17.42504,5729.0,5215.0,5505.0,5266.0,5567.337944063103,4999.482145966672,4284.200315679607,4000.0410137974163
2022-03-24 14:00:00,6169,3,24,3,14,2.4527848,17.860477,5782.0,5729.0,6103.0,5608.0,5868.168972031552,5333.630104261909,4574.1694978827445,4173.557732693623
2022-03-24 15:00:00,6242,3,24,3,15,2.546461,18.102371,6169.0,5782.0,6156.0,5731.0,6055.084486015776,5593.164360187077,4830.758805900784,4339.033114078133
2022-03-24 16:00:00,6143,3,24,3,16,2.432152,18.804863,6242.0,6169.0,6798.0,5848.0,6099.042243007888,5750.260257276484,5032.642066531433,4483.350464951882
2022-03-24 17:00:00,7058,3,24,3,17,2.3847847,18.577036,6143.0,6242.0,7277.0,6667.0,6578.5211215039435,6123.900183768917,5344.235594757367,4689.322427755731
2022-03-24 18:00:00,7767,3,24,3,18,2.248975,17.732185,7058.0,6143.0,8463.0,7274.0,7172.760560751972,6593.357274120654,5716.96858017931,4935.536633535273
2022-03-24 19:00:00,6717,3,24,3,19,2.3679945,17.595491,7767.0,7058.0,6771.0,6297.0,6944.880280375986,6628.6837672290385,5870.8195678440325,5078.053702852451
2022-03-24 20:00:00,5929,3,24,3,20,2.4683387,17.092836,6717.0,7767.0,6227.0,5513.0,6436.940140187993,6428.774119449314,5879.770403560335,5146.129406624255
2022-03-24 21:00:00,5726,3,24,3,21,2.60033,17.264305,5929.0,6717.0,5368.0,5298.0,6081.470070093997,6227.981513892367,5856.113418397206,5192.519054094315
2022-03-24 22:00:00,5389,3,24,3,22,2.6107738,17.434444,5726.0,5929.0,4785.0,4340.0,5735.235035046999,5988.272509923119,5784.249815566866,5208.2375297667695
2022-03-24 23:00:00,3977,3,24,3,23,2.7379055,17.56286,5389.0,5726.0,3002.0,2912.0,4856.117517523499,5413.623221373656,5506.211382402733,5109.738527385428
2022-03-25 00:00:00,2696,3,25,4,0,2.9259644,17.560734,3977.0,5389.0,1509.0,1489.0,3776.0587587617497,4637.159443838325,5073.871169725389,4916.6394451945935
2022-03-25 01:00:00,1342,3,25,4,1,3.1576006,18.142765,2696.0,3977.0,720.0,707.0,2559.029379380875,3695.6853170273753,4499.737143613791,4630.668289579025
2022-03-25 02:00:00,763,3,25,4,2,3.3421364,18.516907,1342.0,2696.0,383.0,386.0,1661.0146896904375,2857.775226448125,3924.8545061347463,4321.254826412704
2022-03-25 03:00:00,483,3,25,4,3,3.719855,19.683126,763.0,1342.0,228.0,229.0,1072.0073448452188,2179.268018891518,3395.3384282678617,4014.194440299687
2022-03-25 04:00:00,354,3,25,4,4,5.326808,25.814152,483.0,763.0,223.0,212.0,713.0036724226094,1657.7628706367984,2927.440208534344,3721.378885075712
2022-03-25 05:00:00,519,3,25,4,5,5.937765,28.352274,354.0,483.0,561.0,436.0,616.0018362113046,1332.402050454856,2556.910945682906,3465.188574269655
2022-03-25 06:00:00,1346,3,25,4,6,3.8131278,20.5661,519.0,354.0,1670.0,1460.0,981.0009181056523,1336.2871788963257,2370.616954039382,3295.6534883280824
2022-03-25 07:00:00,2634,3,25,4,7,2.931492,17.81279,1346.0,519.0,3412.0,3450.0,1807.500459052826,1707.0622706402326,2411.1374226487083,3242.7212092618356
2022-03-25 08:00:00,3836,3,25,4,8,2.6065798,17.193052,2634.0,1346.0,4769.0,4655.0,2821.750229526413,2315.330193314452,2630.347049933522,3290.1835125208886
2022-03-25 09:00:00,4152,3,25,4,9,2.5400481,17.416569,3836.0,2634.0,5050.0,4929.0,3486.8751147632065,2840.092995224609,2864.4475037899033,3359.128831519218
2022-03-25 10:00:00,4559,3,25,4,10,2.4917767,17.340603,4152.0,3836.0,5196.0,5045.0,4022.9375573816033,3331.2092823032917,3125.147887822226,3455.1185249976807
2022-03-25 11:00:00,4936,3,25,4,11,2.4210048,17.37599,4559.0,4152.0,5215.0,5287.0,4479.468778690802,3789.7209159309223,3403.740520464961,3573.5890429978663
2022-03-25 12:00:00,5330,3,25,4,12,2.4812064,17.370651,4936.0,4559.0,5729.0,5423.0,4904.734389345401,4229.800654236374,3700.0881327011207,3714.101919558037
2022-03-25 13:00:00,5280,3,25,4,13,2.6013105,17.68445,5330.0,4936.0,5782.0,5505.0,5092.367194672701,4529.857610168839,3943.1514969009486,3839.373765993394
2022-03-25 14:00:00,6060,3,25,4,14,2.586033,18.046993,5280.0,5330.0,6169.0,6103.0,5576.18359733635,4967.041150120599,4268.820497377726,4017.023864713922
2022-03-25 15:00:00,6075,3,25,4,15,2.6716592,18.525099,6060.0,5280.0,6242.0,6156.0,5825.591798668175,5283.600821514714,4546.6942670119215,4181.661955536808
2022-03-25 16:00:00,5924,3,25,4,16,2.535066,19.741661,6075.0,6060.0,6143.0,6798.0,5874.795899334087,5466.572015367653,4758.587456702396,4321.048999093864
2022-03-25 17:00:00,6675,3,25,4,17,2.363543,18.483294,5924.0,6075.0,7058.0,7277.0,6274.897949667044,5811.837153834038,5053.420155671258,4509.365079166355
2022-03-25 18:00:00,7751,3,25,4,18,2.3060443,17.572634,6675.0,5924.0,7767.0,8463.0,7012.948974833522,6365.883681310028,5468.432439414142,4768.695872833046
2022-03-25 19:00:00,7178,3,25,4,19,2.2774951,17.261429,7751.0,6675.0,6717.0,6771.0,7095.474487416761,6597.916915221448,5731.4428333504275,4961.440203006403
2022-03-25 20:00:00,5818,3,25,4,20,2.3693864,17.26528,7178.0,7751.0,5929.0,6227.0,6456.73724370838,6375.083510872463,5744.759320527285,5029.964986765891
2022-03-25 21:00:00,5693,3,25,4,21,2.485391,17.55258,5818.0,7178.0,5726.0,5368.0,6074.86862185419,6180.2025077660455,5736.796348138472,5083.007787824619
2022-03-25 22:00:00,5953,3,25,4,22,2.6,17.794853,5693.0,5818.0,5389.0,4785.0,6013.934310927095,6115.287505547176,5770.058448424861,5152.60716479865
2022-03-25 23:00:00,5407,3,25,4,23,2.6980228,17.95848,5953.0,5693.0,3977.0,3002.0,5710.467155463548,5912.919646819412,5714.203302513345,5172.958591614758
2022-03-26 00:00:00,4637,3,26,5,0,2.8314407,18.114365,5407.0,5953.0,2696.0,1509.0,5173.733577731774,5548.371176299579,5548.479717511292,5130.081904285577
2022-03-26 01:00:00,3796,3,26,5,1,2.87338,17.875708,4637.0,5407.0,1342.0,720.0,4484.866788865887,5047.693697356842,5278.867453278785,5023.355351942731
2022-03-26 02:00:00,2960,3,26,5,2,2.9406824,17.951149,3796.0,4637.0,763.0,383.0,3722.4333944329437,4451.209783826315,4922.118614312819,4858.286923787313
2022-03-26 03:00:00,2029,3,26,5,3,3.1197143,18.253563,2960.0,3796.0,483.0,228.0,2875.716697216472,3759.149845590225,4477.023442880077,4631.943969884327
2022-03-26 04:00:00,1065,3,26,5,4,3.8158967,20.026676,2029.0,2960.0,354.0,223.0,1970.358348608236,2989.3927468501606,3952.096759360065,4346.58845229358
2022-03-26 05:00:00,451,3,26,5,5,5.3587804,25.965477,1065.0,2029.0,519.0,561.0,1210.679174304118,2264.1376763215435,3413.466488689285,4034.9413761100936
2022-03-26 06:00:00,694,3,26,5,6,4.476066,22.405937,451.0,1065.0,1346.0,1670.0,952.339587152059,1815.5269116582454,2995.087028890933,3767.666066021286
